"segment_area_id","segment_name","state","city","functional_classification","description","facility_type","lat","long"
37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936"
37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936"
38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail","38.84326","-77.08086"
38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail","38.845630198175336","-77.09607280790802"
38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path","Section of Four Mile Run Trail near S Four Mile Run Drive, Henry G. Shirley Memorial Highway (Interstate 395), and Four Mile Run stream","path/trail","38.84563959871144","-77.09608286619184"
39,"Custis Trail (Bon Air Park)","VA","Arlington","Trail or Shared Use Path","Section of Custis Trail in Bon Air Park near Patrick Henry Drive, Custis Memorial Parkway (Interstate 66), and Four Mile Run stream","path/trail","38.87896","-77.13847"
46,"W&OD Trail (Bon Air Park-West)","VA","Arlington","Trail or Shared Use Path","Shared use section of Washington & Old Dominion Trail in Bon Air Park W of Custis Trail, near Custis Memorial Parkway (Interstate 66), Patrick Henry Drive and Four Mile Run stream (Arlington County Trail ID: 1)","path/trail","38.87937","-77.13924"
48,"W&OD Trail (East Falls Church)","VA","Arlington","Trail or Shared Use Path","Shared use section of Washington & Old Dominion Trail in East Falls Church near Falls Church Fire Department (Arlington County Trail ID: 1)","path/trail","38.88754","-77.16302"
48,"W&OD Trail (East Falls Church)","VA","Arlington","Trail or Shared Use Path","Shared use section of Washington & Old Dominion Trail in East Falls Church near Falls Church Fire Department (Arlington County Trail ID: 1)","path/trail","38.88759","-77.16312"
49,"N Quincy St (11th St)","VA","Arlington","Minor Arterial","Southbound bicyclists on bike lane on West side of N Quincy St in the 1100 block, near 11th St N","bike lane","38.88475","-77.10811"
57,"Fairfax Dr","VA","Arlington","Minor Arterial","Eastbound bicyclists on bike lane on South side of Fairfax Dr (Virginia State Route 237) in the 3700 block, between N Oakland St and N Nelson St","bike lane","38.882839","-77.104469"
57,"Fairfax Dr","VA","Arlington","Minor Arterial","Westbound bicyclists on bike lane on North side of Fairfax Dr (Virginia State Route 237) in the 3600 block, between N Nelson St and N Monroe St","bike lane","38.88334","-77.10382"
58,"Clarendon Blvd","VA","Arlington","Principal Arterial - Other","Eastbound bicyclists on bike lane on South side of Clarendon Blvd between N Danville St and N Cleveland St","bike lane","38.88923","-77.09058"
59,"Wilson Blvd","VA","Arlington","Principal Arterial - Other","Westbound bicyclists on bike lane on North side of Wilson Blvd in the 2500 block, between N Danville St and N Cleveland St","bike lane","38.8899","-77.09027"
172,"Mt Vernon Trail - Airport South","VA","Arlington","Trail or Shared Use Path","Shared use section of Mount Vernon Trail where it meets Four Mile Run Trail South of Ronald Reagan Washington National Airport (Arlington County Trail ID: 3)","path/trail","38.84445","-77.04889"
234,"Crystal Dr","VA","Arlington","Major Collector","Northbound bicyclists on bike lane on East side of Crystal Dr in the 1800 block, just South of 18th Street St","bike lane","38.85362","-77.04952"
234,"Crystal Dr","VA","Arlington","Major Collector","Southbound bicyclists on bike lane on West side of Crystal Dr in the 2200 block, just North of 23rd Street S","bike lane","38.85362","-77.04952"
